State,total_ballots_counted,Voting_Eligible_Population,Voting_Eligibile_Population
Alabama,1191274,3588783,"3,588,783"
Alaska,285431,520562,"520,562"
Arizona,1537671,4510186,"4,510,186"
Arkansas,852642,2117881,"2,117,881"
California,7513972,24440416,"24,440,416"
Colorado,2080071,3800664,"3,800,664"
Connecticut,1096556,2577311,"2,577,311"
Delaware,238110,681526,"681,526"
District of Columbia,177176,495899,"495,899"
Florida,6026802,13914216,"13,914,216"
Georgia,2596947,6725041,"6,725,041"
Hawaii,369554,1012123,"1,012,123"
Idaho,445307,1119882,"1,119,882"
Illinois,3680417,9028752,"9,028,752"
Indiana,1387622,4829510,"4,829,510"
Iowa,1142284,2269179,"2,269,179"
Kansas,887023,2048164,"2,048,164"
Kentucky,1459409,3247300,"3,247,300"
Louisiana,1503975,3349433,"3,349,433"
Maine,616996,1051557,"1,051,557"
Maryland,1745104,4154546,"4,154,546"
Massachusetts,2186789,4896296,"4,896,296"
Michigan,3188956,7383958,"7,383,958"
Minnesota,1992613,3935121,"3,935,121"
Mississippi,0,2181131,"2,181,131"
Missouri,1509025,4493722,"4,493,722"
Montana,373831,787748,"787,748"
Nebraska,552115,1334453,"1,334,453"
Nevada,552546,1867644,"1,867,644"
New Hampshire,495565,1025862,"1,025,862"
New Jersey,1955042,6014127,"6,014,127"
New Mexico,0,1449503,"1,449,503"
New York,3930310,13553426,"13,553,426"
North Carolina,2939767,7143737,"7,143,737"
North Dakota,255128,567221,"567,221"
Ohio,3149876,8701243,"8,701,243"
Oklahoma,825607,2755091,"2,755,091"
Oregon,1541782,2887517,"2,887,517"
Pennsylvania,3535576,9689491,"9,689,491"
Rhode Island,329212,776286,"776,286"
South Carolina,1261611,3584461,"3,584,461"
South Dakota,282291,630989,"630,989"
Tennessee,1430117,4799476,"4,799,476"
Texas,0,16675420,"16,675,420"
Utah,577973,1905801,"1,905,801"
Vermont,202445,495884,"495,884"
Virginia,2194346,5962456,"5,962,456"
Washington,2123901,4928407,"4,928,407"
West Virginia,462864,1447652,"1,447,652"
Wisconsin,2422248,4260427,"4,260,427"
Wyoming,171153,431434,"431,434"
United States,130292355,222474111,"222,474,111"
Alabama,0,3539217,"3,539,217"
Alaska,301694,511792,"511,792"
Arizona,2323579,4387900,"4,387,900"
Arkansas,1078548,2109847,"2,109,847"
California,13202158,23681837,"23,681,837"
Colorado,2596173,3675871,"3,675,871"
Connecticut,1560640,2543202,"2,543,202"
Delaware,0,663967,"663,967"
District of Columbia,294254,477582,"477,582"
Florida,8538264,13495057,"13,495,057"
Georgia,3919355,6606607,"6,606,607"
Hawaii,437159,982902,"982,902"
Idaho,666290,1091410,"1,091,410"
Illinois,5279752,8899143,"8,899,143"
Indiana,2663368,4755291,"4,755,291"
Iowa,1589951,2251748,"2,251,748"
Kansas,1182771,2030686,"2,030,686"
Kentucky,1815843,3229185,"3,229,185"
Louisiana,2014548,3311626,"3,311,626"
Maine,724758,1046008,"1,046,008"
Maryland,2734062,4063582,"4,063,582"
Massachusetts,3184196,4809675,"4,809,675"
Michigan,4780701,7312725,"7,312,725"
Minnesota,2950780,3861598,"3,861,598"
Mississippi,0,2166825,"2,166,825"
Missouri,0,4432957,"4,432,957"
Montana,491966,774476,"774,476"
Nebraska,804245,1316915,"1,316,915"
Nevada,1016664,1800969,"1,800,969"
New Hampshire,718700,1013420,"1,013,420"
New Jersey,3683638,5918182,"5,918,182"
New Mexico,786522,1436363,"1,436,363"
New York,7128852,13324107,"13,324,107"
North Carolina,4542488,6947954,"6,947,954"
North Dakota,325564,539164,"539,164"
Ohio,5632423,8649495,"8,649,495"
Oklahoma,0,2713268,"2,713,268"
Oregon,1820507,2836101,"2,836,101"
Pennsylvania,0,9651432,"9,651,432"
Rhode Island,0,768918,"768,918"
South Carolina,1981516,3486838,"3,486,838"
South Dakota,368270,613190,"613,190"
Tennessee,2478870,4736084,"4,736,084"
Texas,0,16119973,"16,119,973"
Utah,1028786,1833339,"1,833,339"
Vermont,301793,493355,"493,355"
Virginia,3888186,5834676,"5,834,676"
Washington,3172939,4822060,"4,822,060"
West Virginia,0,1447066,"1,447,066"
Wisconsin,0,4209370,"4,209,370"
Wyoming,250701,425142,"425,142"
United States,90912015,217551109,"217,551,109"
Alabama,1503232,3472582,"3,472,582"
Alaska,261128,493764,"493,764"
Arizona,1750840,4209544,"4,209,544"
Arkansas,789773,2081156,"2,081,156"
California,10529134,22946053,"22,946,053"
Colorado,1828323,3533054,"3,533,054"
Connecticut,1153872,2512981,"2,512,981"
Delaware,316754,646969,"646,969"
District of Columbia,135846,458619,"458,619"
Florida,5473787,12961184,"12,961,184"
Georgia,2623035,6464845,"6,464,845"
Hawaii,386302,959531,"959,531"
Idaho,459079,1069446,"1,069,446"
Illinois,3792770,8798829,"8,798,829"
Indiana,1791832,4697111,"4,697,111"
Iowa,1133429,2234516,"2,234,516"
Kansas,857658,2011497,"2,011,497"
Kentucky,1417995,3198093,"3,198,093"
Louisiana,1298649,3249524,"3,249,524"
Maine,580584,1038201,"1,038,201"
Maryland,1868179,4001034,"4,001,034"
Massachusetts,2319963,4693670,"4,693,670"
Michigan,3268217,7245281,"7,245,281"
Minnesota,2123369,3802677,"3,802,677"
Mississippi,0,2129334,"2,129,334"
Missouri,1997271,4366435,"4,366,435"
Montana,367096,758653,"758,653"
Nebraska,503514,1301483,"1,301,483"
Nevada,723515,1747288,"1,747,288"
New Hampshire,461423,999918,"999,918"
New Jersey,2200974,5834037,"5,834,037"
New Mexico,630013,1408872,"1,408,872"
New York,4763899,13135048,"13,135,048"
North Carolina,2700706,6785463,"6,785,463"
North Dakota,241039,516974,"516,974"
Ohio,3956028,8571952,"8,571,952"
Oklahoma,1043507,2666767,"2,666,767"
Oregon,1487210,2760607,"2,760,607"
Pennsylvania,4055336,9565822,"9,565,822"
Rhode Island,346357,763534,"763,534"
South Carolina,1365480,3388417,"3,388,417"
South Dakota,323410,599507,"599,507"
Tennessee,1620619,4622919,"4,622,919"
Texas,5066957,15514007,"15,514,007"
Utah,653274,1772934,"1,772,934"
Vermont,243617,488942,"488,942"
Virginia,2214505,5660589,"5,660,589"
Washington,2565589,4724350,"4,724,350"
West Virginia,536493,1442003,"1,442,003"
Wisconsin,2185021,4172130,"4,172,130"
Wyoming,190822,414536,"414,536"
United States,132609063,213313508,"213,313,508"
Alabama,2105622,3454510,"3,454,510"
Alaska,327341,479429,"479,429"
Arizona,2320851,4046075,"4,046,075"
Arkansas,1095958,2071563,"2,071,563"
California,13743177,22261504,"22,261,504"
Colorado,2422236,3382959,"3,382,959"
Connecticut,0,2471082,"2,471,082"
Delaware,413562,628200,"628,200"
District of Columbia,266871,432566,"432,566"
Florida,8453743,12687407,"12,687,407"
Georgia,3940705,6281872,"6,281,872"
Hawaii,456064,930067,"930,067"
Idaho,667506,1029416,"1,029,416"
Illinois,5578195,8681138,"8,681,138"
Indiana,2805986,4653019,"4,653,019"
Iowa,1543662,2216094,"2,216,094"
Kansas,1264208,1991759,"1,991,759"
Kentucky,1858578,3152629,"3,152,629"
Louisiana,1979852,3205794,"3,205,794"
Maine,744456,1036242,"1,036,242"
Maryland,2661905,3925117,"3,925,117"
Massachusetts,3102995,4612550,"4,612,550"
Michigan,5039080,7229512,"7,229,512"
Minnesota,2921147,3740142,"3,740,142"
Mississippi,0,2113347,"2,113,347"
Missouri,2950504,4327572,"4,327,572"
Montana,497599,741853,"741,853"
Nebraska,811923,1274719,"1,274,719"
Nevada,970019,1696831,"1,696,831"
New Hampshire,719643,992226,"992,226"
New Jersey,3910220,5776527,"5,776,527"
New Mexico,833365,1362629,"1,362,629"
New York,7721718,12948969,"12,948,969"
North Carolina,4354571,6584302,"6,584,302"
North Dakota,321133,504762,"504,762"
Ohio,5773777,8513079,"8,513,079"
Oklahoma,1474694,2619121,"2,619,121"
Oregon,1845251,2700327,"2,700,327"
Pennsylvania,6071357,9457942,"9,457,942"
Rhode Island,475428,763608,"763,608"
South Carolina,1927153,3311044,"3,311,044"
South Dakota,387449,590720,"590,720"
Tennessee,2618238,4563192,"4,563,192"
Texas,0,14929810,"14,929,810"
Utah,971185,1700286,"1,700,286"
Vermont,326822,482677,"482,677"
Virginia,3753059,5555415,"5,555,415"
Washington,3071587,4561163,"4,561,163"
West Virginia,731691,1430439,"1,430,439"
Wisconsin,2997086,4120694,"4,120,694"
Wyoming,256035,405732,"405,732"
United States,85769132,207643594,"207,643,594"
Alabama,0,3338467,"3,338,467"
Alaska,238307,465169,"465,169"
Arizona,1553032,3923786,"3,923,786"
Arkansas,780409,2004193,"2,004,193"
California,8899059,21582217,"21,582,217"
Colorado,1586105,3297308,"3,297,308"
Connecticut,1162391,2437559,"2,437,559"
Delaware,258053,601341,"601,341"
District of Columbia,122356,426612,"426,612"
Florida,4884544,12187858,"12,187,858"
Georgia,2143845,6115331,"6,115,331"
Hawaii,348988,908925,"908,925"
Idaho,458927,993010,"993,010"
Illinois,3586292,8667453,"8,667,453"
Indiana,1719351,4559294,"4,559,294"
Iowa,1071509,2178322,"2,178,322"
Kansas,864083,1948850,"1,948,850"
Kentucky,1370062,3100828,"3,100,828"
Louisiana,954896,3043573,"3,043,573"
Maine,0,1016287,"1,016,287"
Maryland,1809237,3833349,"3,833,349"
Massachusetts,2243835,4552794,"4,552,794"
Michigan,3852008,7292624,"7,292,624"
Minnesota,2217552,3667707,"3,667,707"
Mississippi,0,2077420,"2,077,420"
Missouri,2178278,4253541,"4,253,541"
Montana,411061,720447,"720,447"
Nebraska,610499,1251027,"1,251,027"
Nevada,586274,1579222,"1,579,222"
New Hampshire,418550,975281,"975,281"
New Jersey,2315643,5701033,"5,701,033"
New Mexico,568597,1320285,"1,320,285"
New York,4703830,12878632,"12,878,632"
North Carolina,2036451,6264630,"6,264,630"
North Dakota,220479,486142,"486,142"
Ohio,4184072,8461211,"8,461,211"
Oklahoma,0,2547224,"2,547,224"
Oregon,1399650,2628937,"2,628,937"
Pennsylvania,0,9283762,"9,283,762"
Rhode Island,392882,754219,"754,219"
South Carolina,1117311,3152046,"3,152,046"
South Dakota,341105,580592,"580,592"
Tennessee,1868363,4433921,"4,433,921"
Texas,0,14255313,"14,255,313"
Utah,582561,1664323,"1,664,323"
Vermont,263025,478247,"478,247"
Virginia,2398589,5385522,"5,385,522"
Washington,2085074,4403981,"4,403,981"
West Virginia,473014,1401490,"1,401,490"
Wisconsin,2183155,4064432,"4,064,432"
Wyoming,196217,379127,"379,127"
United States,123535883,203483455,"203,483,455"
Alabama,1890317,3292608,"3,292,608"
Alaska,314502,452124,"452,124"
Arizona,2038069,3717055,"3,717,055"
Arkansas,1070573,1969208,"1,969,208"
California,12589367,21132533,"21,132,533"
Colorado,2148036,3192647,"3,192,647"
Connecticut,1607808,2429634,"2,429,634"
Delaware,377407,584817,"584,817"
District of Columbia,230105,419142,"419,142"
Florida,7640319,11811921,"11,811,921"
Georgia,3317336,5878186,"5,878,186"
Hawaii,431662,889540,"889,540"
Idaho,612786,946160,"946,160"
Illinois,5350493,8576696,"8,576,696"
Indiana,2512142,4504260,"4,504,260"
Iowa,1521966,2156389,"2,156,389"
Kansas,1213108,1928764,"1,928,764"
Kentucky,1816867,3057741,"3,057,741"
Louisiana,1956590,3182762,"3,182,762"
Maine,751519,1003792,"1,003,792"
Maryland,2395791,3797264,"3,797,264"
Massachusetts,2927455,4533859,"4,533,859"
Michigan,4875692,7263024,"7,263,024"
Minnesota,2842912,3609185,"3,609,185"
Mississippi,0,2068766,"2,068,766"
Missouri,2764635,4180960,"4,180,960"
Montana,456096,699114,"699,114"
Nebraska,792906,1236522,"1,236,522"
Nevada,831563,1501437,"1,501,437"
New Hampshire,683672,956422,"956,422"
New Jersey,3638153,5663201,"5,663,201"
New Mexico,775301,1282767,"1,282,767"
New York,7448266,12738056,"12,738,056"
North Carolina,3552449,6055771,"6,055,771"
North Dakota,316049,482722,"482,722"
Ohio,5722443,8427696,"8,427,696"
Oklahoma,0,2510823,"2,510,823"
Oregon,1851671,2550887,"2,550,887"
Pennsylvania,0,9221962,"9,221,962"
Rhode Island,440228,747046,"747,046"
South Carolina,1626720,3055098,"3,055,098"
South Dakota,394930,569161,"569,161"
Tennessee,2456610,4328446,"4,328,446"
Texas,0,13796256,"13,796,256"
Utah,942010,1574463,"1,574,463"
Vermont,314220,470754,"470,754"
Virginia,3223156,5277156,"5,277,156"
Washington,2883499,4272914,"4,272,914"
West Virginia,769645,1396545,"1,396,545"
Wisconsin,3016288,4006948,"4,006,948"
Wyoming,245789,370785,"370,785"
United States,80295249,198381939,"198,381,939"
Alabama,0,3285643,"3,285,643"
Alaska,232852,427337,"427,337"
Arizona,1255615,3419481,"3,419,481"
Arkansas,814176,1951568,"1,951,568"
California,7738821,20733192,"20,733,192"
Colorado,1424029,3056465,"3,056,465"
Connecticut,1090756,2418037,"2,418,037"
Delaware,0,564938,"564,938"
District of Columbia,0,412062,"412,062"
Florida,5143674,11194391,"11,194,391"
Georgia,0,5731983,"5,731,983"
Hawaii,385462,872992,"872,992"
Idaho,416533,921256,"921,256"
Illinois,3651808,8540965,"8,540,965"
Indiana,1562037,4494191,"4,494,191"
Iowa,1040201,2136683,"2,136,683"
Kansas,851966,1897261,"1,897,261"
Kentucky,0,3044267,"3,044,267"
Louisiana,1267225,3163663,"3,163,663"
Maine,0,995056,"995,056"
Maryland,1721626,3678346,"3,678,346"
Massachusetts,2220301,4458820,"4,458,820"
Michigan,3219864,7147888,"7,147,888"
Minnesota,0,3518184,"3,518,184"
Mississippi,0,2047426,"2,047,426"
Missouri,0,4116889,"4,116,889"
Montana,340272,684572,"684,572"
Nebraska,0,1204512,"1,204,512"
Nevada,512433,1391100,"1,391,100"
New Hampshire,453078,930362,"930,362"
New Jersey,2161105,5549726,"5,549,726"
New Mexico,502230,1255086,"1,255,086"
New York,4690968,12679865,"12,679,865"
North Carolina,0,5876705,"5,876,705"
North Dakota,237224,476251,"476,251"
Ohio,3356285,8322521,"8,322,521"
Oklahoma,0,2513143,"2,513,143"
Oregon,1293756,2495739,"2,495,739"
Pennsylvania,0,9143001,"9,143,001"
Rhode Island,337027,741776,"741,776"
South Carolina,0,2982810,"2,982,810"
South Dakota,340407,556154,"556,154"
Tennessee,0,4151834,"4,151,834"
Texas,4552059,13181016,"13,181,016"
Utah,568290,1504529,"1,504,529"
Vermont,232993,471403,"471,403"
Virginia,1661915,5138270,"5,138,270"
Washington,1808720,4162032,"4,162,032"
West Virginia,440156,1398124,"1,398,124"
Wisconsin,0,3908088,"3,908,088"
Wyoming,188028,370488,"370,488"
United States,107390107,194331436,"194,331,436"
Alabama,0,3241682,"3,241,682"
Alaska,287825,419111,"419,111"
Arizona,1559520,3357701,"3,357,701"
Arkansas,0,1925961,"1,925,961"
California,11142843,19685258,"19,685,258"
Colorado,0,3026316,"3,026,316"
Connecticut,1474103,2357687,"2,357,687"
Delaware,0,554863,"554,863"
District of Columbia,0,416696,"416,696"
Florida,6138765,10667193,"10,667,193"
Georgia,2684951,5639668,"5,639,668"
Hawaii,371113,832642,"832,642"
Idaho,516647,877406,"877,406"
Illinois,4932192,8432600,"8,432,600"
Indiana,2246348,4424909,"4,424,909"
Iowa,0,2082950,"2,082,950"
Kansas,1092716,1927950,"1,927,950"
Kentucky,1568058,2955628,"2,955,628"
Louisiana,1776133,3130267,"3,130,267"
Maine,0,969292,"969,292"
Maryland,2036455,3649631,"3,649,631"
Massachusetts,2736006,4517052,"4,517,052"
Michigan,4279299,7070702,"7,070,702"
Minnesota,2458303,3506432,"3,506,432"
Mississippi,0,2024650,"2,024,650"
Missouri,0,4052255,"4,052,255"
Montana,417916,667525,"667,525"
Nebraska,707223,1224178,"1,224,178"
Nevada,613360,1346116,"1,346,116"
New Hampshire,578656,890622,"890,622"
New Jersey,3293378,5601788,"5,601,788"
New Mexico,615607,1234088,"1,234,088"
New York,6960215,12380208,"12,380,208"
North Carolina,3015964,5744241,"5,744,241"
North Dakota,292249,477968,"477,968"
Ohio,4795989,8295592,"8,295,592"
Oklahoma,0,2475220,"2,475,220"
Oregon,1559215,2364402,"2,364,402"
Pennsylvania,0,9086897,"9,086,897"
Rhode Island,412074,753877,"753,877"
South Carolina,1433533,2944326,"2,944,326"
South Dakota,322159,548498,"548,498"
Tennessee,2100241,4162996,"4,162,996"
Texas,6407637,13033081,"13,033,081"
Utah,784582,1431668,"1,431,668"
Vermont,297146,459174,"459,174"
Virginia,2789808,5069265,"5,069,265"
Washington,2517028,4098044,"4,098,044"
West Virginia,0,1390365,"1,390,365"
Wisconsin,0,3842044,"3,842,044"
Wyoming,221685,361078,"361,078"
United States,74825832,190419570,"190,419,570"
Alabama,0,3202052,"3,202,052"
Alaska,227156,408758,"408,758"
Arizona,1037550,3232815,"3,232,815"
Arkansas,0,1882181,"1,882,181"
California,8617649,19264556,"19,264,556"
Colorado,0,2879973,"2,879,973"
Connecticut,1022453,2340956,"2,340,956"
Delaware,0,540896,"540,896"
District of Columbia,137523,398318,"398,318"
Florida,4070262,10590870,"10,590,870"
Georgia,1842145,5326337,"5,326,337"
Hawaii,412520,832172,"832,172"
Idaho,386720,843914,"843,914"
Illinois,3541379,8285614,"8,285,614"
Indiana,1618689,4348730,"4,348,730"
Iowa,973032,2112132,"2,112,132"
Kansas,743288,1873438,"1,873,438"
Kentucky,1215053,2930780,"2,930,780"
Louisiana,990243,3097660,"3,097,660"
Maine,0,943577,"943,577"
Maryland,1556994,3571087,"3,571,087"
Massachusetts,1935277,4430939,"4,430,939"
Michigan,3143432,7005306,"7,005,306"
Minnesota,2105343,3378089,"3,378,089"
Mississippi,0,1995283,"1,995,283"
Missouri,0,3978146,"3,978,146"
Montana,338733,653998,"653,998"
Nebraska,581775,1197953,"1,197,953"
Nevada,440042,1233386,"1,233,386"
New Hampshire,330555,878508,"878,508"
New Jersey,1894496,5505229,"5,505,229"
New Mexico,517355,1199320,"1,199,320"
New York,4989877,12263356,"12,263,356"
North Carolina,0,5624292,"5,624,292"
North Dakota,217584,475629,"475,629"
Ohio,3534782,8237516,"8,237,516"
Oklahoma,0,2415036,"2,415,036"
Oregon,1160400,2370381,"2,370,381"
Pennsylvania,0,9075961,"9,075,961"
Rhode Island,309835,723772,"723,772"
South Carolina,1092430,2825173,"2,825,173"
