State,total_ballots_counted,Voting_Eligible_Population,Voting_Eligibile_Population
South Dakota,266355,534711,"534,711"
Tennessee,1026017,4092745,"4,092,745"
Texas,0,12490423,"12,490,423"
Utah,506553,1381989,"1,381,989"
Vermont,224382,444772,"444,772"
Virginia,0,4900523,"4,900,523"
Washington,1939421,3930400,"3,930,400"
West Virginia,405139,1388176,"1,388,176"
Wisconsin,0,3801514,"3,801,514"
Wyoming,178401,350136,"350,136"
United States,0,186347044,"186,347,044"
Alabama,0,3144249,"3,144,249"
Alaska,245212,404180,"404,180"
Arizona,1431342,3079908,"3,079,908"
Arkansas,0,1844689,"1,844,689"
California,10263490,18644593,"18,644,593"
Colorado,0,2770252,"2,770,252"
Connecticut,1410746,2337160,"2,337,160"
Delaware,277418,528630,"528,630"
District of Columbia,189210,398839,"398,839"
Florida,5444245,10219294,"10,219,294"
Georgia,2374650,5181708,"5,181,708"
Hawaii,370230,820055,"820,055"
Idaho,508030,825329,"825,329"
Illinois,4418270,8215662,"8,215,662"
Indiana,2195224,4302745,"4,302,745"
Iowa,1251983,2098332,"2,098,332"
Kansas,1073520,1856507,"1,856,507"
Kentucky,1419592,2880808,"2,880,808"
Louisiana,1804640,3087693,"3,087,693"
Maine,0,929970,"929,970"
Maryland,1793991,3530148,"3,530,148"
Massachusetts,2600278,4385268,"4,385,268"
Michigan,3912261,6954059,"6,954,059"
Minnesota,2211161,3319509,"3,319,509"
Mississippi,0,1949309,"1,949,309"
Missouri,0,3919885,"3,919,885"
Montana,417232,645052,"645,052"
Nebraska,686749,1188034,"1,188,034"
Nevada,467657,1134065,"1,134,065"
New Hampshire,513700,855287,"855,287"
New Jersey,3105110,5456334,"5,456,334"
New Mexico,579763,1172262,"1,172,262"
New York,6439129,12175850,"12,175,850"
North Carolina,0,5435970,"5,435,970"
North Dakota,271850,475898,"475,898"
Ohio,4638108,8185999,"8,185,999"
Oklahoma,1218248,2368311,"2,368,311"
Oregon,1399180,2309051,"2,309,051"
Pennsylvania,0,9063470,"9,063,470"
Rhode Island,0,717041,"717,041"
South Carolina,1203486,2731064,"2,731,064"
South Dakota,329316,529793,"529,793"
Tennessee,0,3984092,"3,984,092"
Texas,0,12072149,"12,072,149"
Utah,691016,1326919,"1,326,919"
Vermont,261469,435687,"435,687"
Virginia,2468229,4811632,"4,811,632"
Washington,2293895,3829308,"3,829,308"
West Virginia,653331,1386621,"1,386,621"
Wisconsin,0,3763240,"3,763,240"
Wyoming,215844,345112,"345,112"
United States,0,182623348,"182,623,348"
Alabama,0,3095745,"3,095,745"
Alaska,216668,399435,"399,435"
Arizona,1153724,2892171,"2,892,171"
Arkansas,0,1801161,"1,801,161"
California,8900593,18479124,"18,479,124"
Colorado,1173130,2648684,"2,648,684"
Connecticut,1163829,2335579,"2,335,579"
Delaware,201560,512941,"512,941"
District of Columbia,186316,411886,"411,886"
Florida,4305340,9810247,"9,810,247"
Georgia,0,4978431,"4,978,431"
Hawaii,377011,808904,"808,904"
Idaho,419330,784076,"784,076"
Illinois,3219122,8175312,"8,175,312"
Indiana,1609481,4235008,"4,235,008"
Iowa,1022372,2077709,"2,077,709"
Kansas,836251,1837694,"1,837,694"
Kentucky,827541,2829881,"2,829,881"
Louisiana,893758,3038660,"3,038,660"
Maine,0,918204,"918,204"
Maryland,1437450,3480270,"3,480,270"
Massachusetts,2232186,4353287,"4,353,287"
Michigan,3177740,6856388,"6,856,388"
Minnesota,1794618,3253779,"3,253,779"
Mississippi,621096,1903794,"1,903,794"
Missouri,0,3858946,"3,858,946"
Montana,359455,622246,"622,246"
Nebraska,593654,1164502,"1,164,502"
Nevada,386582,1032456,"1,032,456"
New Hampshire,319443,829590,"829,590"
New Jersey,2131328,5392423,"5,392,423"
New Mexico,485709,1128243,"1,128,243"
New York,5325323,12192316,"12,192,316"
North Carolina,0,5244552,"5,244,552"
North Dakota,240430,468989,"468,989"
Ohio,3540954,8132122,"8,132,122"
Oklahoma,1002363,2327519,"2,327,519"
Oregon,1254265,2229242,"2,229,242"
Pennsylvania,0,9043585,"9,043,585"
Rhode Island,0,716002,"716,002"
South Carolina,951901,2663830,"2,663,830"
South Dakota,318090,518815,"518,815"
Tennessee,0,3850228,"3,850,228"
Texas,0,11719888,"11,719,888"
Utah,532737,1248726,"1,248,726"
Vermont,216715,426953,"426,953"
Virginia,0,4718968,"4,718,968"
Washington,1733471,3715174,"3,715,174"
West Virginia,439551,1379339,"1,379,339"
Wisconsin,0,3692668,"3,692,668"
Wyoming,204025,337032,"337,032"
United States,0,179655523,"179,655,523"
Alabama,0,3030549,"3,030,549"
Alaska,261427,389898,"389,898"
Arizona,1516276,2671933,"2,671,933"
Arkansas,0,1751083,"1,751,083"
California,11374565,18460157,"18,460,157"
Colorado,1597166,2494998,"2,494,998"
Connecticut,1645609,2356937,"2,356,937"
Delaware,290836,499266,"499,266"
District of Columbia,231445,427102,"427,102"
Florida,5438612,9506230,"9,506,230"
Georgia,0,4766958,"4,766,958"
Hawaii,382882,795148,"795,148"
Idaho,491725,734855,"734,855"
Illinois,5164357,8113900,"8,113,900"
Indiana,2347912,4162678,"4,162,678"
Iowa,1360856,2057690,"2,057,690"
Kansas,1161044,1810750,"1,810,750"
Kentucky,0,2772600,"2,772,600"
Louisiana,1799596,2997301,"2,997,301"
Maine,0,915082,"915,082"
Maryland,1999486,3440015,"3,440,015"
Massachusetts,2822962,4346897,"4,346,897"
Michigan,4341909,6786593,"6,786,593"
Minnesota,2355796,3187255,"3,187,255"
Mississippi,1008019,1854797,"1,854,797"
Missouri,0,3792675,"3,792,675"
Montana,417564,593345,"593,345"
Nebraska,744548,1149525,"1,149,525"
Nevada,513387,940066,"940,066"
New Hampshire,545197,814160,"814,160"
New Jersey,3348312,5398559,"5,398,559"
New Mexico,590901,1073421,"1,073,421"
New York,7068630,12227775,"12,227,775"
North Carolina,0,5077494,"5,077,494"
North Dakota,315199,462631,"462,631"
Ohio,5043094,8063595,"8,063,595"
Oklahoma,1455635,2293931,"2,293,931"
Oregon,1498959,2144867,"2,144,867"
Pennsylvania,0,9010940,"9,010,940"
Rhode Island,0,721593,"721,593"
South Carolina,1234712,2610725,"2,610,725"
South Dakota,0,503759,"503,759"
Tennessee,0,3726024,"3,726,024"
Texas,0,11356487,"11,356,487"
Utah,784988,1162363,"1,162,363"
Vermont,292797,419810,"419,810"
Virginia,0,4622125,"4,622,125"
Washington,2324907,3575852,"3,575,852"
West Virginia,0,1365368,"1,365,368"
Wisconsin,0,3619273,"3,619,273"
Wyoming,203602,324253,"324,253"
United States,0,176629259,"176,629,259"
Alabama,0,2956385,"2,956,385"
Alaska,197540,364419,"364,419"
Arizona,1094735,2523614,"2,523,614"
Arkansas,0,1710799,"1,710,799"
California,7899131,18156500,"18,156,500"
Colorado,1046139,2366650,"2,366,650"
Connecticut,1159361,2383795,"2,383,795"
Delaware,183977,486760,"486,760"
District of Columbia,171677,441742,"441,742"
Florida,0,9145312,"9,145,312"
Georgia,0,4588953,"4,588,953"
Hawaii,354144,770836,"770,836"
Idaho,328340,690154,"690,154"
Illinois,3420720,8029525,"8,029,525"
Indiana,1566371,4080236,"4,080,236"
Iowa,1004908,2030935,"2,030,935"
Kansas,805251,1783412,"1,783,412"
Kentucky,0,2722356,"2,722,356"
Louisiana,0,2959148,"2,959,148"
Maine,0,910982,"910,982"
Maryland,1170867,3397126,"3,397,126"
Massachusetts,2424579,4384671,"4,384,671"
Michigan,2641649,6693069,"6,693,069"
Minnesota,1843104,3136830,"3,136,830"
Mississippi,0,1824156,"1,824,156"
Missouri,0,3740308,"3,740,308"
Montana,326652,573045,"573,045"
Nebraska,604195,1131746,"1,131,746"
Nevada,325959,858018,"858,018"
New Hampshire,307700,814549,"814,549"
New Jersey,1998894,5429251,"5,429,251"
New Mexico,429509,1026902,"1,026,902"
New York,4290261,12271903,"12,271,903"
North Carolina,0,4938968,"4,938,968"
North Dakota,240301,461711,"461,711"
Ohio,3620469,7975680,"7,975,680"
Oklahoma,929639,2251719,"2,251,719"
Oregon,1133125,2057833,"2,057,833"
Pennsylvania,0,8962083,"8,962,083"
Rhode Island,375188,725084,"725,084"
South Carolina,793614,2537384,"2,537,384"
South Dakota,0,494849,"494,849"
Tennessee,0,3624940,"3,624,940"
Texas,0,11034190,"11,034,190"
Utah,457983,1086050,"1,086,050"
Vermont,217384,415564,"415,564"
Virginia,0,4512504,"4,512,504"
Washington,1362651,3421256,"3,421,256"
West Virginia,0,1347723,"1,347,723"
Wisconsin,0,3541548,"3,541,548"
Wyoming,164309,312961,"312,961"
United States,0,173579281,"173,579,281"
Alabama,0,2901744,"2,901,744"
Alaska,203433,355023,"355,023"
Arizona,1204169,2454254,"2,454,254"
Arkansas,0,1689491,"1,689,491"
California,10194539,17738700,"17,738,700"
Colorado,1416265,2327768,"2,327,768"
Connecticut,1461962,2379699,"2,379,699"
Delaware,254973,472441,"472,441"
District of Columbia,197135,453636,"453,636"
Florida,0,8777510,"8,777,510"
Georgia,0,4459739,"4,459,739"
Hawaii,368567,739890,"739,890"
Idaho,421213,667345,"667,345"
Illinois,4697192,7950848,"7,950,848"
Indiana,2222811,3996319,"3,996,319"
Iowa,1240854,2021793,"2,021,793"
Kansas,0,1774451,"1,774,451"
Kentucky,0,2680364,"2,680,364"
Louisiana,0,2941023,"2,941,023"
Maine,0,888612,"888,612"
Maryland,1747350,3325582,"3,325,582"
Massachusetts,2689857,4385728,"4,385,728"
Michigan,3745751,6608812,"6,608,812"
Minnesota,2125119,3087194,"3,087,194"
Mississippi,0,1792847,"1,792,847"
Missouri,0,3696905,"3,696,905"
Montana,378981,568014,"568,014"
Nebraska,678669,1125252,"1,125,252"
Nevada,354261,768131,"768,131"
New Hampshire,462503,800468,"800,468"
New Jersey,3102502,5435008,"5,435,008"
New Mexico,535694,1002876,"1,002,876"
New York,6636310,12300666,"12,300,666"
North Carolina,0,4794041,"4,794,041"
North Dakota,309100,466684,"466,684"
Ohio,4505284,7869099,"7,869,099"
Oklahoma,1192815,2245785,"2,245,785"
Oregon,1235199,1982355,"1,982,355"
Pennsylvania,0,8892826,"8,892,826"
Rhode Island,415963,721773,"721,773"
South Carolina,1041846,2453644,"2,453,644"
South Dakota,0,494034,"494,034"
Tennessee,0,3551452,"3,551,452"
Texas,0,10833436,"10,833,436"
Utah,661546,1043170,"1,043,170"
Vermont,270148,404795,"404,795"
Virginia,0,4396900,"4,396,900"
Washington,1923043,3282173,"3,282,173"
West Virginia,0,1347692,"1,347,692"
Wisconsin,0,3489742,"3,489,742"
Wyoming,186417,315073,"315,073"
United States,0,170396029,"170,396,029"
Alabama,0,2869652,"2,869,652"
Alaska,182526,351841,"351,841"
Arizona,889668,2319046,"2,319,046"
Arkansas,0,1681564,"1,681,564"
California,7617142,17166275,"17,166,275"
Colorado,1096867,2309652,"2,309,652"
Connecticut,1025605,2344327,"2,344,327"
Delaware,165563,455609,"455,609"
District of Columbia,134158,465993,"465,993"
Florida,0,8384015,"8,384,015"
Georgia,0,4300049,"4,300,049"
Hawaii,344416,715459,"715,459"
Idaho,392909,663126,"663,126"
Illinois,3322657,7912733,"7,912,733"
Indiana,1619005,3943714,"3,943,714"
Iowa,922094,2020678,"2,020,678"
Kansas,0,1757001,"1,757,001"
Kentucky,0,2661218,"2,661,218"
Louisiana,0,3014498,"3,014,498"
Maine,0,858200,"858,200"
Maryland,1161136,3216833,"3,216,833"
Massachusetts,1777276,4326264,"4,326,264"
Michigan,2468009,6520661,"6,520,661"
Minnesota,1456579,3024070,"3,024,070"
Mississippi,0,1782721,"1,782,721"
Missouri,0,3655213,"3,655,213"
Montana,326436,572113,"572,113"
Nebraska,577916,1123099,"1,123,099"
Nevada,264365,700192,"700,192"
New Hampshire,257410,760526,"760,526"
New Jersey,1639330,5396487,"5,396,487"
New Mexico,408621,987220,"987,220"
New York,4481718,12263480,"12,263,480"
North Carolina,0,4653016,"4,653,016"
North Dakota,295177,473962,"473,962"
Ohio,3628870,7781083,"7,781,083"
Oklahoma,934447,2290182,"2,290,182"
Oregon,1088140,1928782,"1,928,782"
Pennsylvania,0,8820459,"8,820,459"
Rhode Island,322724,711034,"711,034"
South Carolina,763493,2393329,"2,393,329"
South Dakota,0,492333,"492,333"
Tennessee,0,3478867,"3,478,867"
Texas,0,10786533,"10,786,533"
Utah,445499,1024337,"1,024,337"
Vermont,211709,389843,"389,843"
Virginia,0,4240797,"4,240,797"
Washington,1358160,3151152,"3,151,152"
West Virginia,449249,1370305,"1,370,305"
Wisconsin,0,3432034,"3,432,034"
Wyoming,168615,328971,"328,971"
United States,0,167701904,"167,701,904"
Alabama,0,2831099,"2,831,099"
Alaska,213173,343030,"343,030"
Arizona,1051339,2151391,"2,151,391"
Arkansas,0,1668136,"1,668,136"
California,9796375,16618345,"16,618,345"
Colorado,1343437,2267668,"2,267,668"
Connecticut,1490946,2300533,"2,300,533"
Delaware,258182,442354,"442,354"
District of Columbia,219193,471669,"471,669"
Florida,0,7976805,"7,976,805"
Georgia,0,4119852,"4,119,852"
Hawaii,349253,694187,"694,187"
Idaho,421935,662771,"662,771"
Illinois,4969352,7922605,"7,922,605"
Indiana,2268493,3916362,"3,916,362"
Iowa,1339886,2057482,"2,057,482"
Kansas,0,1751223,"1,751,223"
Kentucky,0,2643027,"2,643,027"
Louisiana,0,3019930,"3,019,930"
Maine,0,840251,"840,251"
Maryland,1695924,3113967,"3,113,967"
Massachusetts,2595054,4273437,"4,273,437"
Michigan,3884854,6407156,"6,407,156"
Minnesota,2115317,2982015,"2,982,015"
Mississippi,0,1766654,"1,766,654"
Missouri,0,3617948,"3,617,948"
Montana,395006,578925,"578,925"
Nebraska,670781,1135012,"1,135,012"
Nevada,294413,656862,"656,862"
New Hampshire,406608,718967,"718,967"
New Jersey,3215941,5318696,"5,318,696"
New Mexico,522328,956246,"956,246"
New York,7000828,12232120,"12,232,120"
North Carolina,0,4512013,"4,512,013"
North Dakota,324179,482655,"482,655"
Ohio,4664223,7732456,"7,732,456"
Oklahoma,1290555,2324445,"2,324,445"
Oregon,1265824,1906880,"1,906,880"
Pennsylvania,0,8790815,"8,790,815"
Rhode Island,422851,697537,"697,537"
South Carolina,1018701,2329080,"2,329,080"
South Dakota,0,494651,"494,651"
Tennessee,0,3415760,"3,415,760"
Texas,0,10582774,"10,582,774"
Utah,641846,998820,"998,820"
Vermont,235140,381479,"381,479"
Virginia,0,4100160,"4,100,160"
Washington,1931546,3072714,"3,072,714"
West Virginia,0,1391427,"1,391,427"
Wisconsin,0,3409202,"3,409,202"
Wyoming,196153,338733,"338,733"
United States (Excl. Louisiana),0,160466919,"160,466,919"
Alabama,0,2780689,"2,780,689"
Alaska,199458,307558,"307,558"
Arizona,742923,2017098,"2,017,098"
Arkansas,0,1639482,"1,639,482"
California,8064314,16161555,"16,161,555"
Colorado,1037774,2196263,"2,196,263"
Connecticut,1112428,2253328,"2,253,328"
Delaware,195726,430257,"430,257"
District of Columbia,0,470719,"470,719"
Florida,0,7565499,"7,565,499"
Georgia,0,3945107,"3,945,107"
Hawaii,325459,671172,"671,172"
Idaho,332237,650534,"650,534"
Illinois,3856875,7908220,"7,908,220"
Indiana,1834225,3879314,"3,879,314"
Iowa,1050495,2068844,"2,068,844"
Kansas,0,1736298,"1,736,298"
Kentucky,0,2615445,"2,615,445"
Louisiana,0,2982702,"2,982,702"
Maine,0,817814,"817,814"
Maryland,1190011,3034834,"3,034,834"
Massachusetts,2103780,4184146,"4,184,146"
Michigan,3135928,6357552,"6,357,552"
Minnesota,1834737,2943169,"2,943,169"
Mississippi,0,1743267,"1,743,267"
Missouri,0,3567803,"3,567,803"
Montana,328082,569629,"569,629"
Nebraska,559422,1128918,"1,128,918"
Nevada,242578,621060,"621,060"
New Hampshire,289057,686264,"686,264"
New Jersey,2286925,5224732,"5,224,732"
New Mexico,417945,919311,"919,311"
New York,5437367,12118685,"12,118,685"
North Carolina,0,4347870,"4,347,870"
North Dakota,272876,476851,"476,851"
Ohio,3551995,7692059,"7,692,059"
Oklahoma,901488,2302670,"2,302,670"
Oregon,1063913,1895706,"1,895,706"
Pennsylvania,0,8749931,"8,749,931"
Rhode Island,370928,684977,"684,977"
South Carolina,688300,2260577,"2,260,577"
South Dakota,0,489474,"489,474"
Tennessee,0,3357236,"3,357,236"
Texas,0,10228820,"10,228,820"
Utah,537207,962724,"962,724"
Vermont,172084,372982,"372,982"
Virginia,0,3960296,"3,960,296"
Washington,1404831,2999997,"2,999,997"
West Virginia,0,1399303,"1,399,303"
Wisconsin,0,3372875,"3,372,875"
Wyoming,172065,344218,"344,218"
United States,0,159635102,"159,635,102"
Alabama,0,2726249,"2,726,249"
Alaska,162653,270122,"270,122"
Arizona,898183,1890167,"1,890,167"
Arkansas,0,1610104,"1,610,104"
California,8775459,15610966,"15,610,966"
Colorado,1225549,2071959,"2,071,959"
Connecticut,1423403,2201356,"2,201,356"
Delaware,239136,421344,"421,344"
District of Columbia,178434,470956,"470,956"
Florida,0,7088658,"7,088,658"
Georgia,0,3791652,"3,791,652"
Hawaii,318026,646583,"646,583"
Idaho,446045,633624,"633,624"
Illinois,4868890,7868300,"7,868,300"
Indiana,2275433,3846321,"3,846,321"
Iowa,1314258,2070935,"2,070,935"
Kansas,0,1704420,"1,704,420"
Kentucky,0,2562572,"2,562,572"
Louisiana,0,2868792,"2,868,792"
Maine,0,799746,"799,746"
Maryland,1557709,2964704,"2,964,704"
Massachusetts,2566807,4110721,"4,110,721"
Michigan,3978647,6374955,"6,374,955"
Minnesota,2079451,2882406,"2,882,406"
Mississippi,0,1704163,"1,704,163"
Missouri,0,3529489,"3,529,489"
Montana,371976,554636,"554,636"
Nebraska,651281,1115142,"1,115,142"
Nevada,297318,573118,"573,118"
New Hampshire,402415,660560,"660,560"
New Jersey,2999879,5123773,"5,123,773"
New Mexico,464848,873515,"873,515"
New York,6359218,12006100,"12,006,100"
North Carolina,0,4203817,"4,203,817"
North Dakota,314525,462223,"462,223"
Ohio,4378937,7637813,"7,637,813"
Oklahoma,1172303,2162051,"2,162,051"
Oregon,1209691,1880863,"1,880,863"
Pennsylvania,0,8664166,"8,664,166"
Rhode Island,423349,675067,"675,067"
South Carolina,922397,2176721,"2,176,721"
South Dakota,0,484328,"484,328"
Tennessee,0,3285608,"3,285,608"
Texas,0,9572904,"9,572,904"
Utah,609691,915484,"915,484"
Vermont,215500,363143,"363,143"
Virginia,0,3830887,"3,830,887"
Washington,1772904,2923670,"2,923,670"
West Virginia,742150,1387231,"1,387,231"
Wisconsin,0,3322053,"3,322,053"
Wyoming,181004,326644,"326,644"
